Keyword,Visibility,Visibility Difference,Google HOU Rank,Google HOU Previous Rank,Google HOU Difference,Google HOU SERP Features,Google HOU URL Found,Google Mobile HOU Rank,Google Mobile HOU Previous Rank,Google Mobile HOU Difference,Google Mobile HOU SERP Features,Google Mobile HOU URL Found,Yahoo! Rank,Yahoo! Previous Rank,Yahoo! Difference,Yahoo! SERP Features,Yahoo! URL Found,Bing US Rank,Bing US Previous Rank,Bing US Difference,Bing US SERP Features,Bing US URL Found
advanced scrap metal,50%,3%,1,1(1),0,"Images (0), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-scrap/,1,5,4,"Images (0), Videos (0), Thumbnail (0), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-scrap/,Not in top 30,Not in top 30,Stays out,,,Not in top 30,Not in top 30,Stays out,,
alloy steel scrap,0%,-56%,Not in top 30,4,Dropped,"Images (0), Videos (0), Thumbnail (0), Reviews (0), Knowledge Panel (0), People Also Ask (0)",,Not in top 30,4,Dropped,"Images (0), Videos (0), Thumbnail (0), Reviews (0), Knowledge Panel (0), People Also Ask (0)",,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",,Not in top 30,18,Dropped,Videos (0),
aluminum price per pound,48%,2%,2,4,2,"Images (0), Videos (0), Thumbnail (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,2,2,0,"Images (0), Videos (0), Thumbnail (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,Videos (0),
aluminum recycling houston tx,70%,34%,1(3),11,10,"Local Pack (1), Images (0), Videos (0), Thumbnail (1), Reviews (0)",https://astrocityscrap.com/,1(3),13,12,"Local Pack (1), Images (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,7,Not in top 30,Entered,Local Pack (0),https://astrocityscrap.com/houston-tx-aluminum-recycling-center/,Not in top 30,26,Dropped,Local Pack (0),
aluminum scrap price,46%,2%,2,5,3,"Images (1), Videos (0), Thumbnail (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,5,4,-1,"Local Pack (1), Images (1), Videos (0), Thumbnail (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",,Not in top 30,Not in top 30,Stays out,Videos (0),
aluminum scrap price houston,95%,6%,1,3,2,"Featured Snippet (1), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,1,3,2,"Local Pack (1), Images (1), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,3,10,7,"Local Pack (0), Videos (0)",https://astrocityscrap.com/houston-tx-aluminum-scrap-metal-prices/,5,1(3),-4,"Local Pack (0), Videos (0)",https://astrocityscrap.com/houston-tx-a…
astrocityscrap.com,100%,0%,1,1,0,"Videos (0), SiteLinks (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://astrocityscrap.com/,1,1,0,,https://astrocityscrap.com/,1,1,0,,https://astrocityscrap.com
astro city scrap metal,100%,25%,1,1,0,"Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,1,1,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://astrocityscrap.com/pricing/,1,Not in top 30,Entered,,https://astrocityscrap.com/,1,1,0,,https://astrocityscrap.com
astro recycling,100%,25%,1,1,0,"Images (1), Videos (0), SiteLinks (1), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://astrocityscrap.com/,1,1,0,"Videos (0), SiteLinks (1), Reviews (0), Knowledge Panel (1)",https://astrocityscrap.com/,1,Not in top 30,Entered,,https://astrocityscrap.com/,1,1,0,,https://astrocityscrap.com
bare bright copper price,48%,1%,2,3,1,"Featured Snippet (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-best-copper-prices-near-me/,2,2,0,"Featured Snippet (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-best-copper-prices-near-me/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,,
best aluminum recycle prices near me,47%,-3%,2,1(2),-1,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://astrocityscrap.com/houston-tx-aluminum-scrap-metal-prices/,4,1(2),-3,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-aluminum-scrap-metal-prices/,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
best scrap metal prices near me,49%,2%,1,4,3,"Local Pack (0), Videos (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-scrap-metal-prices/,2,1(2),-1,"Local Pack (0), Videos (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-scrap-metal-prices/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,Local Pack (0),
brass recycling houston area,40%,-17%,7,1(3),-6,"Local Pack (0), Images (1), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-sell-brass-scrap/,7,1(3),-6,"Local Pack (0), Images (1), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-sell-brass-scrap/,Not in top 30,25,Dropped,,,Not in top 30,28,Dropped,Local Pack (0),
brass scrapers houston,95%,45%,2,1,-1,"Local Pack (0), Images (0), Videos (0), Thumbnail (1)",https://astrocityscrap.com/houston-tx-sell-brass-scrap/,3,1,-2,"Local Pack (0), Images (0), Videos (0), Thumbnail (1)",https://astrocityscrap.com/houston-tx-sell-brass-scrap/,3,Not in top 30,Entered,Videos (0),https://astrocityscrap.com/houston-tx-copper-and-brass-prices/,2(3),Not in top 30,Entered,"Local Pack (1), Videos (0)",https://astrocityscrap.com/
brass scrap price,49%,4%,1,4,3,"Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,2,4,2,"Images (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
buy alloy scrap,50%,5%,1,4,3,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://astrocityscrap.com/houston-tx-aluminum-scrap-metal-prices/,1,4,3,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-aluminum-scrap-metal-prices/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
buy radiators houston,3%,-37%,27,7,-20,"Local Pack (0), Images (0), Videos (0), Thumbnail (0), Reviews (0)",https://astrocityscrap.com/metals-we-accept/radiators/,Not in top 30,7,Dropped,"Local Pack (0), Images (0), Videos (0), Thumbnail (0), Reviews (0), Shopping (0)",,Not in top 30,Not in top 30,Stays out,,,Not in top 30,Not in top 30,Stays out,Local Pack (0),
buy scrap lead,50%,0%,1,1(2),0,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://astrocityscrap.com/houston-tx-scrap-lead-near-me/,1,1(2),0,"Local Pack (1), Images (1), Thumbnail (1), Reviews (0), Ads Bottom (0), Shopping (0)",https://astrocityscrap.com/houston-tx-scrap-lead-near-me/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
carbide recycling Houston TX,84%,19%,3,3,0,"Images (0), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-carbide-scrap-near-me/,3,2,-1,"Images (1), Videos (0), Thumbnail (0), Reviews (0), Knowledge Panel (0), People Also Ask (0), Ads Bottom (0)",https://astrocityscrap.com/houston-tx-carbide-scrap-near-me/,16,10,-6,,https://astrocityscrap.com/houston-tx-carbide-scrap-near-me/,1(2),Not in top 30,Entered,Local Pack (1),https://astrocityscrap.com/
carbide recycling near me,47%,-2%,3,2,-1,"Images (0), Videos (0), Thumbnail (0), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-carbide-scrap-near-me/,3,1,-2,"Images (0), Videos (0), Thumbnail (0), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-carbide-scrap-near-me/,Not in top 30,Not in top 30,Stays out,,,Not in top 30,Not in top 30,Stays out,,
carbide scrap price,50%,9%,1,6,5,"Featured Snippet (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-carbide-scrap-near-me/,1,7,6,"Images (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-carbide-scrap-near-me/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,Videos (0),
carbon steel scrap price,30%,-6%,13,9,-4,"Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,13,10,-3,"Images (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
cast iron scrap price,39%,4%,8,10,2,"Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,7,10,3,"Images (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
