Keyword,Visibility,Visibility Difference,Yahoo! Rank,Yahoo! Previous Rank,Yahoo! Difference,Yahoo! SERP Features,Yahoo! URL Found,Bing US Rank,Bing US Previous Rank,Bing US Difference,Bing US SERP Features,Bing US URL Found,Google HOU Rank,Google HOU Previous Rank,Google HOU Difference,Google HOU SERP Features,Google HOU URL Found,Google Mobile HOU Rank,Google Mobile HOU Previous Rank,Google Mobile HOU Difference,Google Mobile HOU SERP Features,Google Mobile HOU URL Found
houston custom mahogany entry door,100%,0%,1,1,0,"Images (1), Videos (0)",https://www.southernfront.com/houston/mahogany-front-doors/,1(1),1,0,"Local Pack (1), Images (0)",https://www.southernfront.com/,1,1,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/,1,1,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/
houston front door speakeasy window,100%,0%,1,1,0,Images (0),https://www.southernfront.com/houston/houston-speakeasy-door/,1(1),1,0,"Local Pack (1), Images (0)",https://www.southernfront.com/,1,1,0,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://www.southernfront.com/houston/houston-speakeasy-door/,1,1,0,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://www.southernfront.com/houston/houston-speakeasy-door/
houston speakeasy doors sale,100%,+3%,1,2,+1,,https://www.southernfront.com/houston/houston-speakeasy-door/,1,2(2),+1,,https://www.southernfront.com/houston/houston-speakeasy-door,1,1,0,"Images (0), Videos (0), Thumbnail (0), Reviews (0)",https://www.southernfront.com/houston/houston-speakeasy-door/,1,2,+1,"Images (0), Videos (0), Thumbnail (0), Reviews (0), Knowledge Panel (0)",https://www.southernfront.com/houston/houston-speakeasy-door/
houston stained glass exterior front doors,100%,0%,1,1,0,"Images (0), Videos (0)",https://www.southernfront.com/houston/houston-exterior-doors/,1,1,0,"Local Pack (1), Videos (0)",https://www.southernfront.com/houston/houston-exterior-doors,1,1,0,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/stained-glass-front-door-houston-tx/,1,1(1),0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), Ads Top (0), Ads Bottom (0)",https://www.southernfront.com/houston/stained-glass-front-door-houston-tx/
houston tx external front door,100%,0%,1,1,0,,https://www.southernfront.com/,1,1,0,"Local Pack (1), Images (1)",https://www.southernfront.com,1,1,0,"Local Pack (1), Images (1), Thumbnail (1), Reviews (0), Ads Bottom (0)",https://www.southernfront.com/,1(2),1(3),0 (+1),"Local Pack (1), Images (1), Thumbnail (1), Reviews (0)",https://www.southernfront.com/
mahogany stained front door houston,100%,0%,1,1,0,"Images (1), Videos (0)",https://www.southernfront.com/houston/mahogany-front-doors/,1(1),1,0,"Local Pack (1), Images (1), Videos (0)",https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/,1,1,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/
southern front doors,100%,+2%,1,2,+1,Images (1),https://www.southernfront.com/products/,1,2,+1,"Images (1), Videos (0)",https://www.southernfront.com,1,1,0,"Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0)",https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://www.southernfront.com/
southern front doors houston,100%,0%,1,1,0,News (0),https://www.southernfront.com/,1,1,0,,https://www.southernfront.com,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), Ads Top (0)",https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://www.southernfront.com/
southernfront.com,100%,+25%,1,1,0,,https://www.southernfront.com/,1,Not in top 30,Entered,,https://www.southernfront.com,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), Ads Bottom (0)",https://www.southernfront.com/,1,1,0,"Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1)",https://www.southernfront.com/
speakeasy front doors houston,100%,+13%,1,7,+6,"Images (0), Videos (0)",https://www.southernfront.com/houston/houston-speakeasy-door/,1,10,+9,"Images (0), Videos (0)",https://www.southernfront.com/houston/houston-speakeasy-door,1,1,0,"Images (0), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://www.southernfront.com/houston/houston-speakeasy-door/,1,1(4),0,"Images (0), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0), Shopping (0)",https://www.southernfront.com/houston/houston-speakeasy-door/
woodlands front doors,100%,+1%,1,2(2),+1,Images (1),https://www.southernfront.com/houston/front-doors-the-woodlands-tx/,1,1,0,Images (1),https://www.southernfront.com/houston/front-doors-the-woodlands-tx,1,1,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/exterior-doors-the-woodlands-tx/,1,1,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/exterior-doors-the-woodlands-tx/
houston made solid mahogany front door,100%,0%,1,1,0,"Images (0), Videos (0)",https://www.southernfront.com/houston/mahogany-front-doors/,1(1),1,0,"Local Pack (1), Images (0)",https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0), Ads Top (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/,1,1,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/
houston made wood and iron front doors,100%,+1%,1,1,0,Images (0),https://www.southernfront.com/,1(5),1,0,"Local Pack (1), Images (0)",https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0), Ads Top (0), Ads Bottom (0), Shopping (0)",https://www.southernfront.com/houston/wood-doors-wrought-iron-houston/,1,2,+1,"Images (1), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0)",https://www.southernfront.com/houston/wood-doors-wrought-iron-houston/
iron glass front doors near houston tx,100%,+3%,1,1,0,Images (1),https://www.southernfront.com/,1,1(1),0,"Local Pack (1), Images (1)",https://www.southernfront.com,1(1),2,+1,"Local Pack (1), Images (0), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/,1(3),3,+2,"Local Pack (1), Thumbnail (1), People Also Ask (0), Ads Bottom (0), Shopping (0)",https://www.southernfront.com/
southern door company houston,100%,+25%,1,1,0,,https://www.southernfront.com/,1,Not in top 30,Entered,,https://www.southernfront.com,1,1,0,"Videos (0), SiteLinks (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://www.southernfront.com/
southern front stained glass and doors,100%,+25%,1,1,0,"Images (0), Videos (0)",https://www.southernfront.com/,1,Not in top 30,Entered,Videos (0),https://www.southernfront.com,1,1,0,"Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), People Also Ask (0)",https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0), Shopping (0)",https://www.southernfront.com/
southern front stained glass & door inc,100%,0%,1,1,0,,https://www.southernfront.com/gallery/,1,1,0,Images (0),https://www.southernfront.com/gallery,1,1,0,"Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0)",https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1)",https://www.southernfront.com/
modern iron door design Friendswood TX,100%,0%,1,1,0,Images (1),https://www.southernfront.com/modern-iron-door-design-friendswood-tx/,1(1),1,0,Images (1),http://www.southernfront.com,1,1,0,"Local Pack (0), Images (1), Thumbnail (1), People Also Ask (0)",https://www.southernfront.com/tips-for-choosing-the-right-door-for-your-home/peterson-triple-iron-3-2018-1/,1,1,0,"Local Pack (0), Images (1), Thumbnail (1), People Also Ask (0)",https://www.southernfront.com/tips-for-choosing-the-right-door-for-your-home/peterson-triple-iron-3-2018-1/
custom mahogany entry doors houston tx,99%,+2%,1,1,0,Images (1),https://www.southernfront.com/houston/mahogany-front-doors/,1(4),1(4),0,Local Pack (1),https://www.southernfront.com/,1,2,+1,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), Ads Top (0), Ads Bottom (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/,2,3,+1,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0), Ads Bottom (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/
front door houston tx,99%,0%,1,2,+1,Images (1),https://www.southernfront.com/,1,1,0,"Local Pack (1), Images (1)",https://www.southernfront.com,1(3),1(3),0,"Local Pack (1), Images (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/,2,1(2),-1,"Local Pack (0), Images (1), SiteLinks (1), Thumbnail (0), Reviews (0), People Also Ask (0), Ads Top (0)",https://www.southernfront.com/
front door speakeasy window houston,99%,-1%,1,1,0,Videos (0),https://www.southernfront.com/houston/houston-speakeasy-door/,1(1),1(1),0,"Local Pack (1), Images (0)",https://www.southernfront.com/,1,1,0,"Local Pack (1), Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://www.southernfront.com/houston/houston-speakeasy-door/,2,1(3),-1,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/houston-speakeasy-door/
