Keyword,Visibility,Visibility Difference,Google HOU Rank,Google HOU Previous Rank,Google HOU Difference,Google HOU SERP Features,Google HOU URL Found,Google Mobile HOU Rank,Google Mobile HOU Previous Rank,Google Mobile HOU Difference,Google Mobile HOU SERP Features,Google Mobile HOU URL Found,Yahoo! Rank,Yahoo! Previous Rank,Yahoo! Difference,Yahoo! SERP Features,Yahoo! URL Found,Bing US Rank,Bing US Previous Rank,Bing US Difference,Bing US SERP Features,Bing US URL Found
"all phase pool remodeling Lake Jackson, TX",100%,50%,1,1,0,"Images (1), Thumbnail (1), Reviews (0), Knowledge Panel (0), Ads Top (0)",https://jrpoolplastering.com/all-phase-pool-remodeling-lake-jackson-tx/,1,1,0,"Images (1), Thumbnail (1), Knowledge Panel (0)",https://jrpoolplastering.com/all-phase-pool-remodeling-lake-jackson-tx/,1,Not in top 30,Entered,,https://jrpoolplastering.com/all-phase-pool-remodeling-lake-jackson-tx/,1,Not in top 30,Entered,,https://jrpoolplastering.com/all-phase-pool-remodeling...
"all phase pool remodeling Webster, TX",100%,1%,1(2),1,0,"Images (1), Ads Bottom (0)",https://jrpoolplastering.com/houston-tx-all-phase-pool-remodeling/,1,1,0,"Images (1), Reviews (0), Knowledge Panel (0)",https://jrpoolplastering.com/all-phase-pool-remodeling-webster-tx/,1,1,0,,https://jrpoolplastering.com/all-phase-pool-remodeling-webster-tx/,1,2,1,,https://jrpoolplastering.com/all-phase-pool-remodeling...
Fulshear TX wet edge,100%,1%,1,1,0,"Thumbnail (1), Reviews (0), People Also Ask (0)",https://jrpoolplastering.com/fulshear-tx-wet-edge/,1,1,0,"Images (1), Thumbnail (1), Reviews (0), People Also Ask (0)",https://jrpoolplastering.com/fulshear-tx-wet-edge/,1,2,1,,https://jrpoolplastering.com/fulshear-tx-wet-edge/,1,1,0,,https://jrpoolplastering.com/fulshear-tx-wet-edge
League City TX pool plaster companies,100%,2%,1,1,0,"Local Pack (1), Images (1), Reviews (0), People Also Ask (0), Ads Top (0), Ads Bottom (0)",https://jrpoolplastering.com/league-city-tx-pool-replastering/,1,2,1,"Images (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://jrpoolplastering.com/league-city-tx-pool-replastering/,1(4),2,1,Local Pack (1),http://www.jrpoolplastering.com/,1(1),1(5),0 (+4),Local Pack (1),https://jrpoolplastering.com/
marcite pool League City TX,100%,2%,1,1,0,"Images (0), Reviews (0), Ads Top (0), Ads Bottom (0)",https://jrpoolplastering.com/league-city-tx-swimming-pool-resurfacing/,1,2,1,"Local Pack (0), Images (0), Thumbnail (0), Reviews (0)",https://jrpoolplastering.com/league-city-tx-swimming-pool-resurfacing/,1,1,0,,https://jrpoolplastering.com/marcite-pool-league-city-tx/,1,2(1),1,,https://jrpoolplastering.com/marcite-pool-league-city-tx
"pool replastering companies River Oaks, TX",100%,2%,1,2,1,"Local Pack (0), Images (1), Reviews (0), People Also Ask (0)",https://jrpoolplastering.com/river-oaks-tx-pool-plaster-companies/,1,2,1,"Images (1), Thumbnail (0), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://jrpoolplastering.com/swimming-pool-replastering-river-oaks-tx/,1,1,0,,https://jrpoolplastering.com/pool-replastering-companies-river-oaks-tx/,1(2),1(3),0 (+1),Local Pack (1),https://jrpoolplastering.com/
"re plastering a pool Pearland, TX",100%,1%,1,1,0,"Local Pack (1), Images (1), Videos (0), Reviews (0), People Also Ask (0), Ads Top (0), Ads Bottom (0)",https://jrpoolplastering.com/pearland-tx-pool-replastering/,1,1,0,"Local Pack (1), Images (1), Videos (0), Reviews (0), People Also Ask (0)",https://jrpoolplastering.com/pearland-tx-pool-replastering/,1(3),2,1,Local Pack (1),http://www.jrpoolplastering.com/,1(2),1(2),0,"Local Pack (1), Videos (0)",https://jrpoolplastering.com/
"re plastering a pool Sugar Land, TX",100%,2%,1,1,0,"Local Pack (1), Images (1), Videos (0), Reviews (0), People Also Ask (0), Ads Top (0), Ads Bottom (0)",https://jrpoolplastering.com/sugar-land-tx-pool-plaster/,1,2,1,"Local Pack (1), Images (1), Videos (0), Reviews (0), People Also Ask (0)",https://jrpoolplastering.com/sugar-land-tx-pool-plaster/,1(3),2,1,Local Pack (1),http://www.jrpoolplastering.com/,1(1),1(1),0,Local Pack (1),https://jrpoolplastering.com/
"wet edge pool finish Lake Jackson, TX",100%,8%,1,2,1,"Images (1), Videos (0), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://jrpoolplastering.com/wet-edge-pool-finish-lake-jackson-tx/,1,2,1,"Images (1), Reviews (0), People Also Ask (0)",https://jrpoolplastering.com/wet-edge-pool-finish-lake-jackson-tx/,1,8,7,,https://jrpoolplastering.com/wet-edge-pool-finish-lake-jackson-tx/,1,2(5),1,Images (1),https://jrpoolplastering.com/wet-edge-pool-finish-lake-jackson-tx
"all phase pool remodeling Friendswood, TX",99%,3%,1,3,2,"Images (0), Reviews (0), Knowledge Panel (0)",https://jrpoolplastering.com/all-phase-pool-remodeling-friendswood-tx/,1,3,2,"Images (0), Reviews (0), Knowledge Panel (0)",https://jrpoolplastering.com/all-phase-pool-remodeling-friendswood-tx/,1,1,0,,https://jrpoolplastering.com/all-phase-pool-remodeling-friendswood-tx/,2,1,-1,Local Pack (0),https://jrpoolplastering.com/all-phase-pool-remodeling-friendswood-tx
