Keyword,Visibility,Visibility Difference,Yahoo! Rank,Yahoo! Previous Rank,Yahoo! Difference,Yahoo! SERP Features,Yahoo! URL Found,Google HOU Rank,Google HOU Previous Rank,Google HOU Difference,Google HOU SERP Features,Google HOU URL Found,Bing US Rank,Bing US Previous Rank,Bing US Difference,Bing US SERP Features,Bing US URL Found,Google Mobile HOU Rank,Google Mobile HOU Previous Rank,Google Mobile HOU Difference,Google Mobile HOU SERP Features,Google Mobile HOU URL Found
auto injury chiropractic spring tx area,100%,+1%,1,1,0,,https://northhoustonspine.com/chiropractic/,1,1,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://northhoustonspine.com/chiropractic/auto-injury/spring-texas-auto-injury-chiropractic/,1,1,0,Local Pack (1),https://northhoustonspine.com/chiropractic/auto-injury,1,2,+1,"Images (1), Videos (0), Thumbnail (0), Reviews (0), Knowledge Panel (0), People Also Ask (0), Ads Top (0), Ads Bottom (0)",https://northhoustonspine.com/chiropractic/auto-injury/spring-texas-auto-injury-chiropractic/
auto injury chiropractor near spring tx,100%,0%,1,1,0,,https://northhoustonspine.com/,1(2),1(3),0 (+1),"Local Pack (1), Videos (0), Reviews (0), People Also Ask (0)",https://northhoustonspine.com/,1,1,0,Local Pack (1),https://northhoustonspine.com/chiropractic,1(1),1(3),0 (+2),"Local Pack (1), Videos (0), Reviews (0), People Also Ask (0)",https://northhoustonspine.com/
auto injury chiropractor spring texas,100%,0%,1,1,0,Videos (0),https://northhoustonspine.com/,1(2),1,0,"Local Pack (1), Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://northhoustonspine.com/,1,1,0,"Local Pack (1), Videos (0)",https://northhoustonspine.com,1(2),1(3),0 (+1),"Local Pack (1), Images (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://northhoustonspine.com/
north houston chiropractic clinic,100%,0%,1,1,0,Videos (0),https://northhoustonspine.com/chiropractic/,1,1,0,"Local Pack (0), Images (1), Videos (0), Reviews (0), People Also Ask (0)",https://northhoustonspine.com/,1,1(1),0,"Images (0), Videos (0)",https://northhoustonspine.com/chiropractic,1(1),1(1),0,"Local Pack (1), Images (1), Videos (0), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://northhoustonspine.com/
north houston spine,100%,0%,1,1,0,Images (1),https://northhoustonspine.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://northhoustonspine.com/,1,1,0,Images (1),https://northhoustonspine.com,1,1,0,"Images (1), Videos (0), SiteLinks (1), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://northhoustonspine.com/
northhoustonspine.com,100%,0%,1,1,0,,https://northhoustonspine.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://northhoustonspine.com/,1,1,0,,https://northhoustonspine.com,1,1,0,"Images (1), SiteLinks (1), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://northhoustonspine.com/
north houston spine & sports medicine,100%,0%,1,1,0,,https://northhoustonspine.com/,1,1,0,"Images (1), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://northhoustonspine.com/,1,1,0,,https://northhoustonspine.com,1,1,0,"Images (1), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://northhoustonspine.com/
north houston spine and sports chiropractic,100%,0%,1,1,0,Videos (0),https://northhoustonspine.com/,1,1,0,"Videos (0), Reviews (0), People Also Ask (0)",https://northhoustonspine.com/,1,1,0,Videos (0),https://northhoustonspine.com,1,1,0,"Images (1), Videos (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://northhoustonspine.com/
north houston spine and sports medicine,100%,0%,1,1,0,Images (1),https://northhoustonspine.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1)",https://northhoustonspine.com/,1,1,0,Images (1),https://northhoustonspine.com,1,1,0,"Images (1), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1)",https://northhoustonspine.com/
north houston spine chiropractic,100%,0%,1,1,0,"Images (1), Videos (0)",https://northhoustonspine.com/,1,1,0,"Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://northhoustonspine.com/,1,1,0,"Images (1), Videos (0)",https://northhoustonspine.com/chiropractic,1,1,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://northhoustonspine.com/
auto injury chiropractor spring tx,99%,-1%,1,1,0,,https://northhoustonspine.com/chiropractic/auto-injury/,2(1),1,-1,"Featured Snippet (0), Local Pack (1), Images (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://northhoustonspine.com/,1,1,0,Local Pack (1),https://northhoustonspine.com,1(2),1,0,"Local Pack (1), Images (0), Videos (0), Thumbnail (0), People Also Ask (0)",https://northhoustonspine.com/
auto injury chiropractor spring tx area,99%,-1%,1,1,0,,https://northhoustonspine.com/chiropractic/,2(2),1(3),-1,"Featured Snippet (0), Local Pack (1), Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://northhoustonspine.com/,1,1,0,Local Pack (1),https://northhoustonspine.com/chiropractic/auto-injury,1(3),1(3),0,"Local Pack (1), Images (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://northhoustonspine.com/
car accident chiropractor near me spring tx,99%,+1%,2,2,0,Local Pack (0),https://northhoustonspine.com/,1(2),2,+1,"Local Pack (1), Reviews (0), People Also Ask (0)",https://northhoustonspine.com/,1,1,0,Local Pack (1),https://northhoustonspine.com,1(2),1(3),0 (+1),"Local Pack (1), Thumbnail (0), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://northhoustonspine.com/
car injury chiropractor spring tx,99%,-1%,1,1,0,Videos (0),https://northhoustonspine.com/chiropractic/,2(3),1(3),-1,"Featured Snippet (0), Local Pack (1), Images (1), Videos (0), Thumbnail (1), People Also Ask (0)",https://northhoustonspine.com/,1(2),1,0,"Local Pack (1), Videos (0)",https://www.northhoustonspine.com/,1(3),1(3),0,"Local Pack (1), Images (1), Videos (0), Thumbnail (1), People Also Ask (0)",https://northhoustonspine.com/
chiropractor for carpal tunnel spring tx,99%,0%,1,1,0,Videos (0),https://northhoustonspine.com/chiropractic/,2(3),2,0,"Local Pack (1), Images (0), Videos (0), Reviews (0), People Also Ask (0)",https://northhoustonspine.com/,1,1,0,"Local Pack (1), Images (0)",https://northhoustonspine.com,1(3),1(3),0,"Local Pack (1), Images (0), Videos (0), People Also Ask (0)",https://northhoustonspine.com/
houston north tx runnels chiropractic,99%,-1%,1,1,0,Videos (0),https://northhoustonspine.com/about-us/meet-the-doctor/,1,1(1),0,"Local Pack (1), Images (1), Thumbnail (1), Reviews (0)",https://northhoustonspine.com/about-us/meet-the-doctor/,1,1,0,Videos (0),https://northhoustonspine.com/about-us/me…,2,1(1),-1,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0)",https://northhoustonspine.com/about-us/meet-the-doctor/
